"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Yandy Díaz","TBR","117","481","416","112","20","1","12","58","54","59","78","3","1","1","",".270",".362",".411",".773",".339","113","","1.8","","498.5","","2.50","0.39","0.65","16578"
"Jeremy Peña","HOU","111","437","402","100","17","3","14","50","47","26","110","6","8","3","",".249",".304",".412",".715",".308","97","","1.8","","406.4","","4.18","-0.01","0.66","sa876320"
"Jonathan Schoop","DET","140","596","551","145","26","2","22","72","74","31","123","9","2","1","",".263",".309",".438",".747",".320","102","","1.7","","219.6","","1.43","-1.13","0.46","11265"
"Mark Canha","NYM","137","571","478","114","22","3","18","77","63","70","125","17","9","2","",".238",".352",".408",".761",".335","111","","1.7","","291.2","","3.48","-0.51","0.63","11445"
"Andrés Giménez","CLE","116","425","388","95","20","3","12","50","41","22","101","10","18","4","",".245",".300",".402",".701",".302","90","","1.7","","291.1","","3.08","-0.40","1.44","19950"
"Omar Narváez","MIL","112","425","375","95","16","0","12","47","47","41","86","5","0","0","",".253",".333",".395",".728",".318","96","","1.7","","254.6","","2.54","-0.56","0.48","13338"
"Tommy Pham","CIN","123","504","435","113","22","2","18","69","56","63","112","4","13","4","",".259",".357",".439",".796",".346","111","","1.7","","244.4","","4.25","-0.49","0.70","2967"
"Riley Greene","DET","109","458","411","104","18","4","14","55","52","39","127","5","9","2","",".253",".324",".420",".744",".321","103","","1.7","","301.0","","4.66","0.21","0.58","sa3010694"
"Christian Vázquez","BOS","118","456","420","107","20","1","10","49","48","31","84","2","6","3","",".254",".307",".382",".689",".300","84","","1.7","","202.9","","4.29","0.23","0.64","9774"
"Hunter Renfroe","MIL","138","554","498","120","25","1","32","76","85","47","141","4","2","1","",".240",".307",".486",".793",".335","107","","1.7","","162.8","","3.20","0.25","1.07","15464"
"Robbie Grossman","DET","136","573","488","118","23","3","16","73","56","75","123","6","16","4","",".241",".347",".400",".747",".328","108","","1.7","","191.3","","1.78","-0.29","1.02","5254"
"Austin Hays","BAL","132","552","508","131","26","3","21","71","69","32","113","7","6","3","",".257",".308",".445",".753",".322","102","","1.7","","252.8","","1.96","-0.65","0.10","19363"
"Bobby Dalbec","BOS","126","492","438","104","20","3","30","63","76","44","163","8","3","1","",".238",".318",".500",".818",".346","116","","1.7","","219.5","","3.65","-0.44","0.87","19966"
"C.J. Cron","COL","136","551","486","130","27","1","29","73","87","50","123","12","1","0","",".269",".349",".509",".859",".365","115","","1.7","","123.7","","2.95","-0.65","0.86","12546"
