"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Otto Lopez","","13","41","38","10","2","0","1","5","4","3","11","0","1","0","",".257",".307",".373",".679",".295","82","","0.1","","999.0","","5.01","3.30","1.87","19608"
"Jeter Downs","","12","38","34","8","2","0","1","4","4","3","10","0","1","0","",".220",".285",".386",".672",".290","78","","0.1","","600.2","","3.82","3.37","1.84","sa3004615"
"Ali Sánchez","","11","37","35","8","1","0","0","3","3","2","7","0","0","0","",".241",".288",".317",".605",".267","66","","0.1","","999.0","","2.22","0.97","1.86","18551"
"Kody Clemens","","11","41","38","9","2","0","1","5","4","3","10","0","0","0","",".228",".285",".385",".670",".289","81","","0.1","","999.0","","3.14","3.25","1.81","sa3008002"
"José Rondón","","12","38","34","8","2","0","1","4","4","3","9","0","0","0","",".235",".287",".406",".693",".297","85","","0.1","","999.0","","2.75","0.14","1.83","14140"
"Heliot Ramos","","23","93","85","20","4","0","2","10","9","6","27","1","2","1","",".239",".296",".381",".676",".293","83","","0.1","","999.0","","3.73","1.85","1.67","sa3004693"
"Taylor Jones","HOU","17","67","60","14","3","0","2","7","8","6","18","0","0","0","",".240",".310",".388",".698",".303","94","","0.1","","999.0","","3.94","1.90","1.71","19533"
"Ryan LaMarre","","10","31","28","6","1","0","1","4","4","2","8","1","1","0","",".228",".303",".391",".693",".303","90","","0.1","","999.0","","3.05","0.27","1.86","10700"
"Ryan McBroom","","15","34","31","7","1","0","1","4","4","2","11","0","0","0","",".227",".285",".386",".671",".290","81","","0.1","","999.0","","5.61","3.59","1.83","16524"
"Billy McKinney","","26","94","83","18","4","1","3","10","9","9","23","1","1","0","",".212",".295",".388",".683",".296","90","","0.1","","599.2","","3.30","1.41","1.56","15654"
"Ronald Torreyes","PHI","32","116","108","27","5","0","2","12","11","6","15","1","1","0","",".246",".287",".355",".642",".279","71","","0.1","","600.9","","5.35","1.48","1.57","11400"
"Travis Demeritte","","6","25","23","5","1","0","1","3","3","2","9","0","0","0","",".231",".302",".462",".765",".326","100","","0.1","","999.0","","4.97","2.03","1.87","15958"
"Rafael Marchan","","13","46","42","10","2","0","0","5","4","3","8","1","0","0","",".230",".290",".313",".603",".268","64","","0.1","","999.0","","2.47","1.13","1.81","21646"
"Eguy Rosario","SDP","8","25","23","6","1","0","0","3","3","2","6","0","1","0","",".242",".300",".367",".667",".290","81","","0.1","","999.0","","5.38","3.30","1.91","sa917140"
"Juan Lagares","","37","127","119","30","6","1","3","14","13","6","30","1","1","1","",".249",".291",".383",".674",".290","82","","0.1","","999.0","","2.40","-0.06","1.54","5384"
"Taylor Trammell","","19","72","64","13","2","0","2","9","7","7","24","1","1","0","",".207",".294",".342",".636",".282","81","","0.0","","600.9","","6.42","2.34","1.66","19960"
"Mark Kolozsvary","","8","30","27","5","1","0","1","3","3","2","11","1","0","0","",".200",".285",".340",".625",".277","66","","0.0","","999.0","","1.68","0.70","1.83","sa3004996"
"Asdrúbal Cabrera","CIN","62","244","216","51","12","1","7","28","29","23","54","2","1","0","",".238",".311",".400",".711",".307","85","","0.0","","600.2","","3.60","-0.14","0.95","4962"
"Drew Waters","","7","30","28","7","2","0","1","3","2","2","10","0","1","0","",".238",".299",".366",".665",".291","78","","0.0","","600.3","","4.67","1.79","1.89","sa3004378"
"Alejo Lopez","","13","43","39","10","2","0","0","6","4","3","6","0","0","0","",".260",".322",".355",".677",".298","80","","0.0","","999.0","","4.25","1.76","1.85","21127"
"Ronald Guzmán","","12","37","33","7","1","0","1","4","4","3","10","0","0","0","",".224",".302",".409",".711",".308","93","","0.0","","999.0","","3.33","3.59","1.81","14388"
"Jonathan Araúz","BOS","6","23","21","5","1","0","0","3","2","2","5","0","0","0","",".239",".302",".357",".658",".289","77","","0.0","","999.0","","3.85","1.23","1.89","20275"
"Oswald Peraza","","5","21","20","5","1","0","0","2","2","1","5","0","1","0","",".247",".298",".366",".663",".289","80","","0.0","","600.0","","5.42","3.52","1.93","sa3003305"
"Joe Panik","","38","136","123","30","6","0","2","13","12","11","19","1","1","0","",".242",".308",".337",".645",".284","80","","0.0","","999.0","","1.83","-0.12","1.54","11936"
"Yermín Mercedes","CHW","7","23","21","5","1","0","1","3","3","1","4","0","0","0","",".255",".304",".410",".714",".307","92","","0.0","","599.3","","3.82","3.48","1.90","17423"
"Rob Brantly","NYY","8","27","25","6","1","0","1","3","3","2","5","1","0","0","",".229",".292",".346",".638",".281","75","","0.0","","999.0","","2.46","2.02","1.87","10655"
"Wyatt Mathisen","SFG","13","40","34","8","1","0","1","4","4","4","13","1","0","0","",".218",".309",".364",".673",".297","85","","0.0","","999.0","","3.30","0.44","1.80","14555"
"Chris Owings","","17","59","54","12","2","0","2","6","6","4","18","0","2","0","",".218",".283",".364",".647",".276","71","","0.0","","600.9","","3.05","2.26","1.76","10030"
"John Nogowski","ATL","17","56","50","12","2","0","1","6","6","5","9","1","0","0","",".241",".320",".356",".675",".299","83","","0.0","","600.8","","3.20","1.62","1.76","16852"
"Luke Raley","TBR","16","55","50","11","2","0","2","6","7","3","17","2","0","0","",".223",".296",".397",".693",".301","88","","0.0","","601.0","","4.53","2.05","1.73","19354"
"Eric Sogard","","30","104","95","23","5","0","1","10","9","8","17","1","1","1","",".242",".300",".341",".641",".280","74","","0.0","","999.0","","1.50","-0.15","1.66","7927"
"Jahmai Jones","","20","74","67","15","3","0","2","8","7","6","20","0","1","0","",".227",".294",".345",".639",".282","75","","0.0","","601.0","","4.03","0.98","1.72","18872"
"Maikel Franco","WSN","53","210","194","45","9","0","7","20","25","13","34","1","0","0","",".235",".284",".399",".683",".291","79","","0.0","","586.1","","2.78","-0.02","1.12","12179"
"Lewis Brinson","","25","94","87","20","4","0","3","10","10","5","25","1","1","0","",".225",".275",".371",".646",".280","78","","0.0","","601.0","","3.26","1.87","1.58","14352"
"Tucupita Marcano","","11","37","33","8","2","0","0","4","3","3","6","0","0","0","",".245",".313",".317",".630",".281","75","","0.0","","600.6","","3.80","2.06","1.87","22871"
"Aramis Garcia","CIN","19","64","59","13","3","0","2","6","7","3","20","1","0","0","",".212",".264",".338",".602",".263","57","","0.0","","600.8","","2.90","2.61","1.68","16925"
"Alan Trejo","COL","19","62","57","14","3","0","2","7","7","3","15","1","0","0","",".244",".286",".399",".685",".293","69","","0.0","","999.0","","2.69","1.58","1.75","20056"
"José Devers","MIA","18","50","45","11","2","0","0","6","4","3","10","1","1","0","",".250",".305",".337",".643",".282","79","","0.0","","999.0","","2.42","-0.26","1.83","20540"
"Alfonso Rivas","CHC","22","82","73","18","4","0","1","9","8","8","21","1","0","0","",".246",".329",".356",".685",".304","90","","0.0","","999.0","","2.79","0.93","1.69","21560"
"Mason Martin","PIT","26","105","95","21","5","0","5","12","14","8","36","2","1","0","",".219",".290",".417",".707",".303","89","","0.0","","591.7","","3.25","3.66","1.46","sa3004885"
"Daniel Robertson","MIN","23","63","55","12","2","0","1","7","5","6","17","1","0","0","",".217",".311",".304",".616",".277","73","","0.0","","999.0","","2.31","-1.28","1.71","14145"
"Khris Davis","","36","134","120","27","5","0","6","16","18","11","37","1","0","0","",".226",".296",".428",".724",".309","99","","0.0","","999.0","","3.12","0.20","1.32","9112"
"Edwin Ríos","LAD","14","51","46","10","2","0","2","6","7","4","17","1","0","0","",".226",".296",".434",".731",".313","96","","0.0","","587.0","","5.18","2.02","1.72","18316"
"Ildemaro Vargas","CHC","13","40","37","9","2","0","1","4","4","2","6","0","0","0","",".237",".274",".343",".617",".267","66","","0.0","","999.0","","3.36","2.25","1.84","13324"
"Max Moroff","","9","30","26","5","1","0","1","3","3","3","10","0","0","0","",".208",".302",".362",".665",".293","83","","0.0","","999.0","","9.39","1.54","1.84","14556"
"Zach Reks","","13","50","45","10","2","0","2","5","5","5","18","1","0","0","",".222",".302",".372",".674",".296","87","","0.0","","999.0","","3.71","2.24","1.76","19667"
"Ryan O'Hearn","KCR","32","120","108","25","5","0","5","12","15","10","32","1","0","0","",".231",".300",".406",".706",".304","90","","0.0","","599.8","","2.55","1.66","1.46","16442"
"Greg Deichmann","","9","28","25","5","1","0","0","3","2","3","9","0","0","0","",".213",".296",".328",".624",".278","73","","0.0","","999.0","","2.71","1.48","1.87","19872"
"Daniel Johnson","CLE","23","74","68","15","3","0","2","8","8","5","23","1","1","0","",".224",".287",".386",".673",".292","83","","0.0","","999.0","","6.55","2.18","1.68","19643"
"Webster Rivas","SDP","8","28","25","6","1","0","0","3","2","2","6","0","0","0","",".223",".285",".313",".598",".264","64","","0.0","","999.0","","1.69","0.91","1.87","14636"
"Travis Shaw","","30","113","99","22","5","0","4","13","14","12","30","1","0","0","",".220",".310",".401",".711",".308","90","","0.0","","600.8","","2.91","-0.28","1.42","11982"
"Lucius Fox","WSN","6","24","22","5","1","0","0","3","2","2","6","0","1","0","",".235",".305",".338",".643",".284","74","","0.0","","999.0","","4.26","1.30","1.92","sa914200"
"Justin Upton","LAA","91","358","315","70","12","0","17","45","46","36","104","4","3","1","",".222",".307",".424",".731",".313","98","","0.0","","567.1","","2.02","-0.37","0.51","5222"
"Taylor Motter","","9","24","22","5","1","0","1","3","3","2","6","0","0","0","",".210",".289",".375",".664",".289","77","","0.0","","999.0","","2.48","2.02","1.86","12399"
"Jake Lamb","LAD","13","46","40","9","2","0","2","6","6","5","13","0","0","0","",".223",".313",".416",".729",".310","94","","0.0","","999.0","","3.11","0.71","1.75","13329"
"Phil Gosselin","","18","73","67","17","3","0","2","8","8","5","17","0","0","0","",".248",".305",".375",".680",".297","82","","0.0","","597.7","","3.33","-0.12","1.72","10953"
"Rob Refsnyder","BOS","21","74","66","16","3","0","2","8","7","6","20","1","0","0","",".245",".314",".383",".697",".302","86","","0.0","","999.0","","3.16","0.43","1.71","13770"
"Sebastian Rivero","","8","28","26","6","2","0","0","3","3","2","8","0","0","0","",".217",".269",".310",".580",".255","58","","0.0","","999.0","","2.26","-0.03","1.86","21735"
"Matt Carpenter","","41","139","118","24","6","0","4","16","14","18","41","2","1","0","",".206",".320",".363",".683",".301","90","","0.0","","598.8","","2.52","0.69","1.32","8090"
"Grayson Greiner","","8","29","26","5","1","0","1","3","3","2","10","0","0","0","",".199",".270",".337",".608",".268","63","","0.0","","999.0","","1.81","0.28","1.84","17062"
"Rio Ruiz","","13","38","35","8","2","0","1","4","4","3","9","0","0","0","",".233",".288",".381",".669",".289","66","","0.0","","999.0","","3.20","2.85","1.83","14103"
"Miguel Andújar","NYY","26","99","93","24","5","0","4","12","12","5","17","0","0","0","",".261",".300",".445",".745",".317","99","","0.0","","598.0","","3.89","-0.08","1.62","15878"
"Yonathan Daza","COL","55","203","187","52","10","2","2","21","18","11","35","1","2","1","",".277",".321",".378",".699",".305","76","","0.0","","600.0","","3.73","-0.15","1.58","15794"
"Christin Stewart","BOS","15","53","48","11","3","0","2","6","7","4","16","1","0","0","",".227",".297",".421",".718",".307","89","","0.0","","999.0","","4.32","3.76","1.73","17714"
"Abraham Almonte","","9","28","24","6","1","0","1","3","3","3","6","0","0","0","",".236",".334",".408",".742",".324","100","","0.0","","999.0","","2.97","1.69","1.87","5486"
"Albert Almora Jr.","","14","38","35","9","2","0","1","4","4","2","8","0","0","0","",".247",".298",".361",".659",".286","72","","0.0","","999.0","","4.46","1.34","1.86","14109"
"Micker Adolfo","CHW","15","58","53","11","3","0","3","7","7","4","20","1","0","0","",".218",".280",".416",".696",".298","86","","0.0","","999.0","","4.55","2.07","1.69","sa830303"
"Evan White","SEA","22","86","78","17","3","0","3","9","10","6","26","1","0","0","",".219",".281",".377",".657",".285","84","","0.0","","600.9","","3.05","0.10","1.57","20078"
"Nick Maton","PHI","18","64","57","12","3","0","1","7","6","6","18","0","1","0","",".219",".298",".321",".618",".275","69","","0.0","","999.0","","3.20","0.40","1.72","21635"
"Travis Jankowski","","24","77","68","16","3","0","0","9","5","8","17","0","3","0","",".236",".323",".302",".625",".282","76","","0.0","","999.0","","3.39","-0.03","1.78","13768"
"Dillon Thomas","LAA","7","21","19","4","1","0","1","2","2","2","9","0","0","0","",".204",".280",".339",".620",".274","71","","0.0","","999.0","","4.14","3.53","1.89","12719"
"Andrew Young","WSN","11","22","20","4","1","0","1","3","3","1","9","1","0","0","",".218",".291",".392",".683",".297","82","","0.0","","999.0","","3.07","3.65","1.87","19521"
"Tony Wolters","LAD","6","21","18","4","0","0","0","2","2","2","5","0","0","0","",".206",".282",".249",".532",".241","48","","0.0","","999.0","","2.65","1.17","1.89","11470"
"Roman Quinn","","20","70","63","15","1","0","1","8","5","5","21","1","5","1","",".235",".305",".303",".608",".273","73","","0.0","","999.0","","3.35","-0.12","1.87","13546"
"Franchy Cordero","BOS","12","46","42","10","3","0","1","6","6","4","15","0","1","0","",".244",".304",".376",".680",".295","81","","0.0","","999.0","","5.03","1.89","1.80","14567"
"Anthony Bemboom","BAL","13","47","41","8","1","0","1","4","4","4","13","0","0","0","",".196",".267",".279",".546",".245","50","","0.0","","999.0","","2.49","0.33","1.76","13854"
"Andrew Knapp","CIN","50","165","144","30","6","1","4","16","15","17","52","2","0","0","",".209",".300",".335",".635",".281","69","","0.0","","600.9","","2.03","-0.20","1.24","14942"
"Greg Bird","","10","39","35","8","2","0","2","5","5","4","11","0","0","0","",".220",".300",".413",".713",".308","90","","0.0","","600.7","","4.57","1.90","1.78","14131"
"DJ Peters","","12","43","39","8","2","0","2","6","7","2","15","1","0","0","",".210",".268",".424",".692",".294","86","","0.0","","600.5","","3.15","2.68","1.72","19348"
"Delino DeShields","","16","58","50","11","2","0","1","6","4","6","15","1","2","1","",".221",".315",".310",".626",".281","78","","0.0","","999.0","","3.30","4.27","1.82","11379"
"Anthony Alford","PIT","98","362","324","73","15","2","11","42","38","31","126","5","12","4","",".224",".302",".386",".688",".300","87","","0.0","","575.1","","2.43","-0.06","1.15","14329"
"Nick Martini","","8","20","17","4","1","0","0","2","2","2","5","0","0","0","",".238",".322",".341",".663",".294","83","","0.0","","999.0","","2.89","2.97","1.91","12005"
"Brendon Davis","","8","30","27","6","1","0","1","3","3","2","8","0","0","0","",".224",".291",".370",".661",".288","80","","0.0","","999.0","","4.56","3.04","1.85","sa875089"
"Ender Inciarte","NYY","13","42","38","9","2","0","0","5","3","3","9","0","1","0","",".226",".290",".303",".594",".263","63","","0.0","","600.0","","3.55","1.17","1.83","4922"
"Mickey Moniak","PHI","22","71","65","15","3","0","2","8","8","5","21","0","1","0","",".224",".281",".386",".667",".287","76","","0.0","","599.7","","4.16","1.29","1.68","19956"
"Jake McCarthy","ARI","78","292","262","60","12","3","7","35","28","23","83","3","13","3","",".228",".296",".378",".675",".294","80","","0.0","","601.0","","2.77","-0.53","1.42","21622"
"Brock Holt","","28","107","95","23","4","0","1","11","9","10","22","1","1","0","",".238",".314",".315",".628",".282","72","","0.0","","999.0","","4.13","1.18","1.62","9345"
"Austin Dean","","11","28","25","6","1","0","1","3","3","2","7","0","0","0","",".242",".308",".391",".700",".302","89","","0.0","","999.0","","4.52","2.22","1.87","18288"
"Jarrod Dyson","","40","115","104","23","4","1","1","13","8","9","24","1","7","2","",".218",".284",".304",".589",".261","59","","0.0","","999.0","","2.29","0.29","1.79","4866"
"Kyle Garlick","MIN","24","72","67","15","4","0","3","9","9","4","23","1","0","0","",".220",".270",".418",".688",".294","84","","0.0","","999.0","","4.07","0.42","1.61","18063"
"Monte Harrison","","10","23","20","4","1","0","1","2","2","2","9","0","1","0","",".199",".266",".333",".599",".264","67","","0.0","","999.0","","3.20","3.10","1.89","17216"
"Hunter Owen","PIT","11","29","26","5","1","0","1","3","3","2","12","1","0","0","",".203",".266",".356",".622",".270","68","","0.0","","999.0","","3.01","2.84","1.84","20034"
"Josh Palacios","","24","92","80","18","4","0","1","10","8","8","23","1","1","0","",".230",".306",".337",".643",".284","75","","0.0","","999.0","","4.20","0.97","1.64","19818"
"Taylor Davis","","9","29","26","6","1","0","0","3","2","2","4","0","0","0","",".223",".294",".288",".581",".261","61","","0.0","","999.0","","1.55","1.88","1.87","12782"
"Chad Wallach","LAA","13","41","36","7","1","0","1","4","4","3","14","0","0","0","",".188",".263",".326",".589",".259","61","","0.0","","999.0","","2.04","1.92","1.77","17161"
"Pat Valaika","","13","42","39","9","2","0","1","4","4","2","11","0","0","0","",".220",".265",".358",".623",".270","64","","0.0","","999.0","","3.64","1.38","1.80","14885"
"Trent Giambrone","CHC","9","30","28","5","1","0","1","3","3","2","9","0","0","0","",".197",".263",".325",".587",".258","60","","0.0","","999.0","","2.62","0.24","1.85","19250"
"Luke Williams","SFG","23","74","68","15","3","0","1","8","7","6","17","0","2","0","",".222",".288",".310",".598",".266","63","","0.0","","999.0","","4.39","1.05","1.74","19931"
"Richie Martin","BAL","27","94","85","19","3","1","1","9","7","6","23","2","2","1","",".223",".284",".321",".606",".268","65","","0.0","","999.0","","1.40","-0.52","1.67","17736"
"David Dahl","MIL","13","52","48","12","3","0","2","6","6","3","13","0","0","0","",".240",".285",".402",".687",".294","81","","0.0","","599.9","","4.13","1.38","1.78","13744"
"Pete Kozma","","12","34","32","6","1","0","0","3","2","2","9","0","0","0","",".192",".245",".257",".502",".217","36","","0.0","","999.0","","1.90","-1.49","1.83","2539"
"Ian Desmond","COL","7","26","24","6","1","0","1","3","3","2","7","0","0","0","",".251",".310",".422",".733",".315","83","","0.0","","999.0","","5.58","2.99","1.89","6885"
"Phillip Evans","","9","31","27","6","1","0","0","2","2","3","7","0","0","0","",".224",".306",".311",".617",".278","73","","-0.1","","999.0","","6.71","1.90","1.89","12950"
"Robel García","","9","26","23","4","1","0","1","2","3","2","10","0","0","0","",".178",".254",".329",".583",".255","58","","-0.1","","999.0","","2.19","1.55","1.84","13167"
"Jordy Mercer","","24","85","79","19","4","0","2","9","9","5","19","1","0","0","",".241",".295",".365",".659",".281","72","","-0.1","","999.0","","2.07","0.03","1.67","6547"
"Sandy León","","46","157","143","28","5","0","3","13","14","11","43","2","0","0","",".196",".260",".305",".564",".249","54","","-0.1","","999.0","","2.30","0.21","1.25","5273"
"Dexter Fowler","","28","104","91","20","4","0","3","12","10","12","27","1","2","1","",".219",".315",".363",".678",".295","85","","-0.1","","999.0","","4.26","0.43","1.57","4062"
"Drew Butera","","11","37","33","6","1","0","1","3","3","2","12","1","0","0","",".181",".245",".293",".539",".238","46","","-0.1","","999.0","","1.35","0.31","1.80","3411"
"Khalil Lee","","15","50","43","9","2","0","1","6","4","6","18","1","1","0","",".211",".315",".307",".622",".283","76","","-0.1","","596.7","","3.94","0.81","1.76","19952"
"Jonathan Davis","MIL","9","27","24","5","1","0","0","3","2","2","8","1","1","0","",".194",".277",".273",".549",".249","52","","-0.1","","999.0","","3.09","0.76","1.86","15104"
"Trayce Thompson","","11","35","32","6","1","0","1","4","4","3","13","0","1","0","",".190",".267",".360",".627",".274","70","","-0.1","","999.0","","2.96","2.74","1.80","9952"
"Michael Chavis","PIT","96","370","342","82","15","2","13","44","44","20","111","6","3","1","",".240",".291",".413",".704",".302","88","","-0.1","","584.6","","3.11","0.39","0.49","17321"
"Shogo Akiyama","CIN","41","149","133","33","7","1","2","16","12","13","31","2","2","1","",".248",".324",".348",".672",".298","80","","-0.1","","600.8","","3.44","1.24","1.57","27461"
"Max Schrock","CIN","39","135","124","31","6","1","3","15","14","9","25","1","2","0","",".251",".302",".377",".680",".295","78","","-0.1","","600.5","","4.27","-0.36","1.54","17750"
"Adam Haseley","","29","106","96","23","4","0","2","11","10","7","23","1","2","1","",".236",".293",".349",".642",".281","75","","-0.1","","600.9","","4.14","1.89","1.62","19878"
"Scott Kingery","PHI","15","39","36","8","2","0","1","4","4","2","13","0","1","0","",".221",".275",".373",".648",".281","72","","-0.1","","601.0","","2.80","2.88","1.82","17975"
"Donovan Casey","","11","43","39","9","2","0","1","4","4","2","14","0","1","0","",".218",".271",".366",".637",".276","69","","-0.1","","999.0","","3.30","3.54","1.81","sa915654"
"Steven Souza Jr.","","14","46","41","8","1","0","1","5","5","5","16","0","0","0","",".192",".280",".316",".596",".265","70","","-0.1","","999.0","","3.61","1.31","1.74","5667"
"Yusniel Diaz","","9","36","32","7","1","0","1","4","3","3","10","0","0","0","",".213",".276",".343",".619",".271","68","","-0.1","","999.0","","1.42","0.96","1.83","sa912848"
"Wilmer Difo","ARI","34","112","100","24","4","1","2","12","10","9","24","1","1","0","",".243",".301",".346",".648",".276","68","","-0.1","","999.0","","1.61","-0.42","1.60","14320"
"Seby Zavala","CHW","34","125","113","20","4","0","4","13","13","9","53","1","0","0","",".182",".249",".336",".584",".256","58","","-0.1","","598.5","","4.33","1.76","1.28","18887"
"Jake Bauers","CIN","21","69","61","14","3","0","2","8","7","7","17","1","1","0","",".227",".314",".363",".677",".298","80","","-0.1","","600.7","","3.69","2.03","1.72","15194"
"Jake Noll","WSN","11","31","29","7","1","0","1","3","3","2","6","0","0","0","",".242",".290",".370",".660",".287","76","","-0.1","","999.0","","4.78","2.94","1.87","19703"
"Matt Joyce","PHI","27","82","70","16","3","0","2","9","8","10","19","1","0","0","",".225",".327",".369",".696",".306","89","","-0.1","","999.0","","2.09","-0.03","1.62","3353"
"Luis Barrera","","29","99","92","21","4","1","1","10","8","6","22","0","2","0","",".227",".281",".306",".586",".260","65","","-0.1","","999.0","","3.34","0.15","1.65","19615"
"Billy Hamilton","","21","70","63","13","2","0","0","8","5","5","19","0","4","1","",".200",".255",".255",".511",".229","46","","-0.1","","600.2","","3.43","0.69","1.80","10199"
"Jake Cave","MIN","32","111","102","23","5","0","3","12","11","7","36","2","1","0","",".224",".290",".357",".646",".283","78","","-0.1","","999.0","","4.13","0.55","1.50","14477"
"Ryan Vilade","","23","79","73","19","4","0","1","9","7","5","15","1","1","0","",".257",".312",".366",".678",".296","71","","-0.1","","600.5","","5.20","1.89","1.75","22165"
"Guillermo Heredia","ATL","53","185","164","37","9","0","3","23","16","16","43","4","1","0","",".228",".310",".346",".656",".290","77","","-0.1","","999.0","","2.34","-0.36","1.21","18721"
"Harold Castro","DET","55","204","192","50","8","1","2","20","19","9","43","1","1","1","",".260",".292",".346",".638",".278","74","","-0.1","","600.3","","2.72","0.73","1.44","14691"
"Andrew Stevenson","","70","230","210","52","10","1","5","26","24","16","62","3","3","1","",".250",".310",".375",".684",".299","84","","-0.1","","597.8","","3.66","0.77","1.23","17932"
"Colin Moran","CIN","93","357","321","81","14","1","13","40","48","31","87","3","1","0","",".253",".321",".423",".744",".321","95","","-0.1","","580.6","","5.20","0.91","0.64","16909"
"Stephen Piscotty","OAK","107","398","363","83","16","1","12","39","44","28","99","4","3","1","",".229",".290",".380",".670",".290","86","","-0.2","","595.7","","2.94","0.39","0.54","13367"
"Jared Oliva","PIT","23","80","73","17","4","1","1","8","7","5","22","1","3","1","",".226",".287",".329",".616",".271","68","","-0.2","","999.0","","3.54","1.46","1.74","19968"
"Zach McKinstry","","36","121","111","24","4","1","3","15","15","8","30","1","1","0","",".213",".271",".351",".622",".270","68","","-0.2","","599.4","","5.07","0.18","1.36","19392"
"Josh Reddick","","35","116","107","26","5","1","2","12","12","8","22","0","0","0","",".243",".295",".364",".658",".285","75","","-0.2","","999.0","","1.13","0.09","1.55","3892"
"Scott Schebler","","11","33","31","6","1","0","1","4","3","2","11","1","0","0","",".203",".260",".340",".599",".254","43","","-0.2","","999.0","","5.01","2.09","1.82","12225"
"Alex Blandino","","29","76","65","14","3","0","1","8","6","8","22","2","1","0","",".210",".311",".301",".612",".278","73","","-0.2","","999.0","","3.72","0.41","1.66","16271"
"Jose Rojas","LAA","28","95","87","18","3","0","3","11","11","8","25","0","1","0","",".206",".272",".339",".611",".268","67","","-0.2","","600.4","","5.24","1.32","1.51","19331"
"Magneuris Sierra","LAA","33","90","82","19","3","1","0","10","5","5","19","0","4","1","",".232",".280",".298",".577",".255","58","","-0.3","","999.0","","2.94","2.15","1.79","17023"
"Albert Pujols","STL","45","168","156","37","6","0","7","17","23","9","27","2","1","0","",".236",".282",".409",".690",".292","82","","-0.4","","593.3","","2.48","-0.91","1.28","1177"
"Miguel Cabrera","DET","111","461","415","104","16","0","13","45","56","37","103","4","0","0","",".251",".314",".389",".704",".303","90","","-0.4","","555.3","","2.94","-0.09","0.49","1744"
"Cody Thomas","","40","140","129","24","4","1","3","15","16","9","49","1","0","0","",".187",".246",".311",".557",".245","55","","-0.4","","999.0","","4.36","-0.44","1.20","sa738459"
