"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Harrison Bader","STL","140","517","462","115","22","2","19","67","60","41","126","10","11","4","",".248",".320",".432",".752",".322","104","","2.6","","241.6","18030"
"Brandon Belt","SFG","123","504","429","106","22","3","27","71","72","66","125","5","4","1","",".248",".353",".499",".852",".362","129","","2.6","","240.5","10264"
"Eduardo Escobar","NYM","139","581","524","128","24","3","24","69","78","47","123","4","2","1","",".244",".308",".441",".749",".319","104","","2.6","","203.7","6153"
"Eloy Jiménez","CHW","142","589","537","147","30","2","29","79","86","43","139","4","1","0","",".275",".332",".501",".833",".352","125","","2.6","","65.7","17484"
"Ke'Bryan Hayes","PIT","141","604","544","142","30","4","14","71","63","50","127","5","11","3","",".262",".328",".409",".737",".319","99","","2.5","","151.9","18577"
"José Abreu","CHW","149","644","574","152","29","2","29","85","88","50","137","14","2","1","",".265",".336",".477",".813",".346","121","","2.5","","79.7","15676"
"Giancarlo Stanton","NYY","137","583","508","129","21","0","33","81","85","65","159","6","1","0","",".254",".343",".494",".838",".356","128","","2.5","","95.4","4949"
"Mark Canha","NYM","137","571","482","117","23","2","18","75","63","66","124","19","6","2","",".243",".353",".414",".767",".337","116","","2.5","","291.2","11445"
"Chris Taylor","LAD","132","522","460","119","25","4","19","75","66","51","144","6","8","2","",".259",".339",".455",".794",".341","115","","2.5","","141.5","13757"
"Trent Grisham","SDP","138","580","505","123","26","4","19","76","64","64","132","6","15","4","",".243",".333",".425",".758",".328","108","","2.5","","146.9","18564"
"Luis Urías","MIL","133","523","458","117","22","2","18","67","62","52","106","9","5","2","",".255",".341",".433",".774",".334","107","","2.5","","211.3","16622"
"Michael Conforto","","125","542","463","121","26","1","21","71","70","66","117","9","3","1","",".262",".363",".460",".823",".354","123","","2.5","","241.8","16376"
"Enrique Hernández","BOS","139","575","508","126","29","2","22","74","71","56","110","6","2","1","",".248",".328",".445",".773",".332","106","","2.4","","226.5","10472"
"Austin Meadows","TBR","136","578","509","128","29","4","27","75","81","57","125","6","7","2","",".251",".331",".480",".811",".344","124","","2.4","","155.4","15672"
"Gleyber Torres","NYY","137","564","501","129","24","1","17","69","62","53","113","4","10","3","",".257",".331",".414",".745",".322","105","","2.4","","161.3","16997"
"Paul DeJong","STL","122","478","427","100","20","1","22","59","61","39","122","8","4","1","",".234",".307",".437",".743",".319","102","","2.4","","499.0","18015"
"Whit Merrifield","KCR","147","651","600","170","36","5","11","80","67","40","98","5","25","6","",".284",".331",".415",".746",".322","102","","2.4","","33.2","11281"
"DJ LeMahieu","NYY","130","576","515","144","23","2","11","69","57","54","83","3","3","1","",".280",".350",".398",".747",".327","108","","2.3","","126.8","9874"
"Dylan Carlson","STL","150","635","562","144","31","4","20","80","72","59","149","9","5","2","",".257",".334",".433",".768",".331","110","","2.3","","166.6","20126"
"Sean Murphy","OAK","112","420","371","81","17","1","16","44","47","40","109","6","0","0","",".218",".303",".392",".695",".302","94","","2.3","","245.5","19352"
"Avisaíl García","MIA","139","571","515","137","21","2","24","73","72","42","137","10","10","3","",".265",".330",".452",".783",".334","112","","2.3","","173.7","5760"
"Travis d'Arnaud","ATL","101","394","356","89","17","1","14","48","46","30","91","3","1","0","",".249",".312",".414",".726",".313","92","","2.3","","227.6","7739"
"Teoscar Hernández","TOR","144","609","553","144","29","2","32","86","88","46","160","6","10","3","",".261",".322",".498",".820",".346","117","","2.3","","27.5","13066"
"Franmil Reyes","CLE","144","593","528","136","24","1","36","80","94","57","172","4","2","1","",".257",".331",".510",".842",".354","126","","2.3","","121.0","14566"
"Jean Segura","PHI","134","570","518","146","25","2","14","72","62","38","84","7","9","3","",".282",".337",".419",".756",".327","102","","2.3","","207.7","5933"
"Ramón Laureano","OAK","118","495","438","108","23","2","19","62","55","42","127","10","11","3","",".247",".324",".437",".761",".328","112","","2.3","","258.7","17128"
"J.D. Martinez","BOS","143","622","554","153","33","2","28","84","88","59","144","4","1","0","",".276",".346",".494",".840",".355","121","","2.3","","88.4","6184"
"Amed Rosario","CLE","139","576","536","149","26","5","12","70","59","32","113","4","12","4","",".279",".321",".412",".734",".316","100","","2.2","","173.6","15518"
"Carson Kelly","ARI","107","404","352","87","17","1","16","48","53","43","85","5","0","0","",".248",".336",".436",".772",".332","105","","2.2","","278.1","13620"
"J.P. Crawford","SEA","147","630","559","136","26","3","9","68","53","60","112","6","7","3","",".243",".321",".349",".670",".297","91","","2.2","","491.1","15491"
"Myles Straw","CLE","143","569","504","135","24","3","3","67","41","57","109","3","23","5","",".268",".343",".347",".690",".307","94","","2.2","","128.4","17620"
"Ryan Jeffers","MIN","96","352","316","70","14","1","15","41","43","29","111","5","1","0","",".222",".297",".407",".703",".304","92","","2.2","","504.6","24618"
"Jazz Chisholm Jr.","MIA","132","558","503","121","22","5","21","76","61","44","165","6","22","5","",".240",".306",".428",".735",".316","100","","2.2","","79.7","20454"
"Jonathan Schoop","DET","140","596","549","144","27","2","22","68","74","34","121","9","1","0","",".263",".314",".438",".752",".323","104","","2.1","","219.6","11265"
"Ty France","SEA","142","587","519","137","26","1","19","69","68","43","104","19","1","0","",".265",".341",".426",".767",".333","116","","2.1","","160.5","17982"
"Miguel Rojas","MIA","130","525","477","128","23","2","8","59","49","36","73","6","11","3","",".269",".326",".378",".704",".308","95","","2.1","","508.4","7802"
"Joey Votto","CIN","138","588","502","129","25","2","28","79","81","76","131","5","2","1","",".257",".358",".479",".837",".357","118","","2.1","","141.5","4314"
"Josh Bell","WSN","145","605","528","141","26","2","28","81","84","68","114","4","1","0","",".267",".351",".483",".834",".354","120","","2.1","","131.3","13145"
"Keibert Ruiz","WSN","105","412","376","101","20","1","13","46","51","28","48","5","0","0","",".268",".324",".429",".752",".323","99","","2.1","","146.4","19610"
"Jeff McNeil","NYM","129","516","462","125","25","2","11","61","56","38","73","12","4","1","",".271",".340",".405",".744",".324","108","","2.1","","326.3","15362"
"Jared Walsh","LAA","141","579","519","134","28","1","29","76","84","50","152","6","2","1","",".258",".328",".485",".813",".344","118","","2.1","","120.1","18607"
"Andrew Benintendi","KCR","131","557","496","131","28","4","16","67","63","49","103","5","12","3","",".265",".334",".433",".767",".330","107","","2.1","","193.3","17901"
