"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Peyton Burdick","MIA","3","11","10","2","0","0","0","1","1","1","4","0","0","0","",".216",".304",".375",".679",".296","88","","0.0","","999.0","sa3009876"
"Austin Wynns","PHI","4","14","13","3","0","0","0","1","1","1","3","0","0","0","",".221",".279",".328",".607",".267","64","","0.0","","999.0","15271"
"Justin Smoak","","2","9","8","2","0","0","0","1","1","1","2","0","0","0","",".218",".319",".403",".723",".315","94","","0.0","","999.0","9054"
"Mark Kolozsvary","","8","30","27","6","1","0","1","3","3","2","10","1","0","0","",".207",".285",".353",".637",".281","68","","0.0","","999.0","sa3004996"
"Tyler Nevin","BAL","23","83","75","18","4","0","2","8","8","7","19","1","0","0","",".234",".300",".369",".668",".292","82","","0.0","","999.0","17893"
"Billy McKinney","","26","94","83","18","4","1","3","9","9","9","25","1","0","0","",".212",".292",".377",".669",".290","86","","0.0","","599.2","15654"
"Alex De Goti","HOU","3","10","9","2","0","0","0","1","1","1","2","0","0","0","",".212",".277",".318",".595",".263","66","","0.0","","999.0","19477"
"DJ Peters","","12","43","39","8","2","0","2","5","5","3","15","1","0","0","",".210",".283",".386",".668",".289","82","","0.0","","600.5","19348"
"Domingo Leyba","SDP","2","7","7","2","0","0","0","0","0","0","1","0","0","0","",".229",".279",".358",".637",".276","74","","0.0","","999.0","16404"
"Anderson Tejeda","STL","4","13","12","2","0","0","0","1","1","1","5","0","0","0","",".195",".255",".340",".596",".259","64","","0.0","","999.0","19909"
"Kean Wong","","6","17","16","4","1","0","0","2","2","1","4","0","0","0","",".234",".289",".333",".622",".272","70","","0.0","","999.0","15994"
"Ronnie Dawson","CIN","3","8","7","2","0","0","0","1","1","1","2","0","0","0","",".217",".293",".350",".642",".282","69","","0.0","","999.0","19710"
"Tyler Payne","CHC","6","12","11","2","0","0","0","1","1","1","3","0","0","0","",".212",".262",".337",".599",".261","60","","0.0","","999.0","21139"
"Mike Tauchman","","3","9","8","2","0","0","0","1","1","1","2","0","0","0","",".224",".307",".347",".654",".288","81","","0.0","","999.0","15274"
"Mallex Smith","TOR","3","11","10","2","0","0","0","1","1","1","3","0","1","0","",".240",".312",".339",".651",".288","77","","0.0","","999.0","13608"
"Drew Ellis","","32","121","107","22","5","0","3","12","13","11","35","2","0","0","",".209",".292",".364",".655",".287","76","","0.0","","999.0","19873"
"Hernán Pérez","","6","15","14","3","1","0","0","2","2","1","4","0","0","0","",".232",".276",".365",".641",".277","70","","0.0","","999.0","5751"
"Corey Ray","","5","18","16","3","1","0","0","2","2","1","6","0","0","0","",".203",".269",".351",".619",".269","65","","0.0","","999.0","19170"
"Derek Fisher","MIN","3","8","7","1","0","0","0","1","1","1","3","0","0","0","",".208",".298",".348",".646",".285","79","","0.0","","999.0","16192"
"Símon Muzziotti","","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".256",".308",".364",".672",".292","80","","0.0","","999.0","sa917376"
"Tyler White","","2","7","6","1","0","0","0","1","1","1","1","0","0","0","",".233",".325",".366",".691",".305","88","","0.0","","999.0","15564"
"Nick Martini","","8","20","18","4","1","0","0","2","2","2","5","0","0","0","",".237",".325",".339",".664",".296","82","","0.0","","999.0","12005"
"Ka'ai Tom","SFG","5","14","12","3","1","0","0","2","1","1","4","0","0","0","",".217",".298",".358",".656",".287","81","","0.0","","999.0","18136"
"Tim Lopes","COL","7","17","16","4","1","0","0","2","2","1","4","0","0","0","",".244",".296",".369",".666",".289","66","","0.0","","999.0","14137"
"Guillermo Heredia","ATL","53","185","164","38","8","0","3","21","17","15","41","4","1","0","",".232",".311",".348",".660",".291","78","","0.0","","999.0","18721"
"Erik González","MIA","6","19","18","4","1","0","0","2","2","1","4","0","0","0","",".241",".278",".335",".613",".267","68","","0.0","","600.0","13369"
"Franchy Cordero","BOS","12","46","42","10","2","0","1","6","4","4","15","0","1","0","",".228",".297",".380",".677",".293","80","","0.0","","999.0","14567"
"Jamie Ritchie","PIT","4","16","14","3","1","0","0","2","1","2","3","0","0","0","",".239",".323",".333",".656",".293","82","","0.0","","999.0","sa829058"
"Darick Hall","PHI","2","6","6","1","0","0","0","1","1","1","2","0","0","0","",".211",".294",".375",".669",".292","79","","0.0","","999.0","sa918293"
"Kyle Stowers","BAL","4","11","10","2","0","0","0","1","1","1","4","0","0","0","",".215",".292",".372",".664",".288","79","","0.0","","999.0","sa1115829"
"Jorge Oña","","6","14","12","3","1","0","0","1","1","1","4","0","0","0","",".224",".290",".359",".649",".283","79","","0.0","","999.0","20040"
"Nelson Velazquez","CHC","4","14","12","3","1","0","0","1","2","1","4","0","0","0","",".229",".285",".392",".677",".289","78","","0.0","","600.7","sa3005129"
"Adrián Sanchez","WSN","4","8","7","2","0","0","0","1","1","0","2","0","0","0","",".237",".282",".331",".613",".267","63","","0.0","","999.0","11338"
"Josh Palacios","","24","92","82","19","4","0","1","10","8","7","24","1","1","1","",".228",".301",".336",".636",".281","73","","0.0","","999.0","19818"
"Greg Bird","","10","39","34","8","2","0","2","5","5","4","11","0","0","0","",".218",".310",".408",".718",".311","93","","0.0","","600.7","14131"
"Logan Warmoth","TOR","2","6","6","1","0","0","0","1","0","1","2","0","0","0","",".195",".274",".298",".572",".257","56","","0.0","","999.0","sa3004813"
"Ryan O'Hearn","KCR","32","120","108","25","5","0","4","13","15","10","32","1","0","0","",".228",".298",".408",".706",".303","89","","0.0","","599.8","16442"
"Nick Plummer","","5","17","14","3","1","0","0","2","1","2","6","0","0","0","",".194",".299",".317",".616",".278","78","","0.0","","999.0","sa874684"
"Justin Williams","","4","13","12","3","1","0","0","1","2","1","4","0","0","0","",".224",".290",".376",".666",".287","76","","0.0","","999.0","15490"
"Grayson Greiner","","8","29","27","5","1","0","1","3","3","2","10","0","0","0","",".200",".267",".324",".591",".261","58","","0.0","","999.0","17062"
"Micker Adolfo","CHW","15","58","52","11","2","0","2","6","7","4","21","1","0","0","",".214",".280",".383",".663",".287","81","","0.0","","999.0","sa830303"
"JaCoby Jones","KCR","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".215",".278",".350",".629",".275","70","","0.0","","999.0","14818"
"Brendon Davis","","8","30","27","6","1","0","1","3","3","2","9","0","0","0","",".221",".287",".364",".651",".284","78","","0.0","","999.0","sa875089"
"Zach Reks","","13","50","45","10","2","0","1","5","5","4","16","1","0","0","",".218",".295",".351",".646",".284","79","","0.0","","999.0","19667"
"Luis Barrera","","29","99","91","21","4","1","1","9","7","7","23","1","2","0","",".227",".283",".324",".607",".267","70","","0.0","","999.0","19615"
"Robel García","","9","26","23","4","1","0","1","3","3","2","9","0","0","0","",".194",".271",".353",".624",".272","67","","0.0","","999.0","13167"
"Jaylin Davis","","5","19","17","4","1","0","1","2","2","1","6","0","0","0","",".219",".287",".366",".653",".284","79","","0.0","","999.0","19552"
"Charlie Culberson","","43","141","130","30","6","1","3","15","13","8","36","1","2","1","",".229",".280",".354",".634",".275","73","","0.0","","597.2","3298"
"Mike Ford","","4","13","12","2","0","0","0","1","1","1","4","0","0","0","",".194",".283",".348",".631",".277","78","","0.0","","999.0","15585"
"Travis Demeritte","","6","25","23","5","1","0","1","3","3","2","9","0","0","0","",".210",".282",".379",".661",".286","75","","0.0","","999.0","15958"
"Luke Raley","TBR","16","55","49","11","2","0","2","6","6","3","17","2","0","0","",".216",".291",".366",".657",".287","85","","0.0","","601.0","19354"
"Wyatt Mathisen","SFG","13","40","35","8","2","0","1","4","4","4","11","1","0","0","",".219",".307",".361",".668",".294","85","","0.0","","999.0","14555"
"Todd Frazier","","4","15","13","3","1","0","0","2","2","1","3","0","0","0","",".215",".296",".358",".654",".288","79","","0.0","","600.9","785"
"Blake Rutherford","","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".222",".270",".343",".613",".266","67","","0.0","","999.0","sa917932"
"JT Riddle","CIN","6","16","15","3","1","0","0","2","2","1","3","0","0","0","",".222",".269",".336",".605",".262","57","","0.0","","999.0","17642"
"Jack López","DET","5","14","13","3","1","0","0","1","1","1","4","0","0","0","",".219",".265",".316",".580",".254","58","","0.0","","999.0","13663"
"Buddy Reed","OAK","5","18","16","3","1","0","0","2","1","1","7","0","0","0","",".190",".257",".311",".568",".249","59","","0.0","","999.0","sa738683"
"Jake Cave","MIN","32","111","101","23","5","1","3","12","10","8","36","2","1","0","",".225",".291",".362",".653",".285","79","","0.0","","999.0","14477"
"Alfonso Rivas","CHC","22","82","73","18","4","0","1","8","7","8","20","1","0","0","",".247",".327",".356",".683",".301","86","","0.0","","999.0","21560"
"Rio Ruiz","","13","38","34","8","2","0","1","4","4","3","8","0","0","0","",".233",".296",".375",".671",".291","67","","0.0","","999.0","14103"
"Dustin Fowler","","5","15","14","3","1","0","0","2","2","1","4","0","0","0","",".223",".273",".364",".637",".275","71","","0.0","","999.0","17098"
"JJ Bleday","MIA","6","19","17","4","1","0","0","2","2","2","4","0","0","0","",".211",".284",".340",".624",".274","73","","0.0","","600.2","sa3011642"
"Phillip Evans","","9","31","28","6","1","0","1","3","3","3","6","0","0","0","",".229",".301",".351",".653",".288","81","","0.0","","999.0","12950"
"Adam Haseley","","29","106","96","22","4","0","2","11","9","7","22","1","1","0","",".233",".295",".341",".636",".279","75","","0.0","","600.9","19878"
"Khris Davis","","36","134","119","27","5","0","6","16","18","12","36","2","0","0","",".224",".302",".422",".725",".312","95","","0.0","","999.0","9112"
"Bryan Lavastida","CLE","7","25","23","6","1","0","1","3","3","2","5","0","0","0","",".258",".325",".388",".713",".309","95","","0.0","","999.0","sa3006917"
"Ryan Goins","ATL","3","12","11","2","0","0","0","1","1","1","4","0","0","0","",".208",".272",".296",".568",".253","53","","0.0","","999.0","9807"
"Scott Hurst","STL","9","12","11","2","0","0","0","1","1","1","4","0","0","0","",".211",".275",".316",".591",".261","65","","0.0","","999.0","20501"
"Ildemaro Vargas","CHC","13","40","37","9","2","0","1","4","4","2","6","0","0","0","",".240",".284",".338",".622",".270","65","","0.0","","999.0","13324"
"Edwin Ríos","LAD","14","51","46","10","2","0","2","6","7","4","17","1","0","0","",".220",".290",".410",".700",".301","89","","0.0","","587.0","18316"
"Trey Amburgey","CIN","6","17","16","4","1","0","0","2","2","1","5","0","0","0","",".224",".274",".377",".650",".280","68","","0.0","","999.0","18425"
"Rob Refsnyder","BOS","21","74","66","16","3","0","2","8","7","6","19","1","0","0","",".239",".312",".366",".678",".297","82","","0.0","","999.0","13770"
"Gerardo Parra","","5","16","14","3","1","0","0","2","1","1","3","0","0","0","",".231",".294",".328",".621",".274","67","","0.0","","999.0","8553"
"Brock Holt","","28","107","95","22","4","0","1","11","8","10","21","1","1","0","",".230",".308",".311",".619",".277","69","","0.0","","999.0","9345"
"Ryan LaMarre","","10","31","28","6","1","0","1","3","3","2","9","0","1","0","",".223",".288",".334",".622",".274","72","","0.0","","999.0","10700"
"Johneshwy Fargas","NYM","6","19","18","4","1","0","0","2","2","1","5","0","1","0","",".212",".269",".315",".584",".257","64","","0.0","","999.0","16446"
"Dillon Thomas","LAA","7","21","19","4","1","0","0","2","2","2","8","0","0","0","",".204",".279",".328",".607",".268","67","","0.0","","999.0","12719"
"Greg Deichmann","","9","28","25","5","1","0","1","3","2","3","9","0","0","0","",".212",".290",".347",".636",".280","72","","0.0","","999.0","19872"
"Drew Butera","","11","37","33","6","1","0","1","3","3","3","11","0","0","0","",".194",".261",".305",".567",".251","55","","0.0","","999.0","3411"
"Jake Hager","ARI","7","18","17","3","1","0","0","2","2","1","5","0","0","0","",".206",".259",".323",".582",".254","54","","0.0","","999.0","12198"
"Hunter Owen","PIT","11","29","26","5","1","0","1","3","3","2","10","1","0","0","",".208",".274",".366",".640",".277","72","","0.0","","999.0","20034"
"Rusney Castillo","","4","17","16","4","1","0","0","2","2","1","3","0","0","0","",".243",".281",".331",".612",".267","62","","0.0","","999.0","17016"
"Jake Bauers","CIN","21","69","61","14","3","0","2","8","7","7","17","1","1","0","",".230",".318",".376",".694",".304","84","","0.0","","600.7","15194"
"Yusniel Diaz","","9","36","32","7","1","0","1","4","3","3","10","0","0","0","",".218",".283",".351",".634",".277","72","","0.0","","999.0","sa912848"
"Jose Rojas","LAA","28","95","87","19","4","0","3","10","10","7","24","1","1","0","",".217",".277",".371",".648",".280","75","","0.0","","600.4","19331"
"Delino DeShields","","16","58","51","11","2","0","1","6","4","6","15","0","2","1","",".221",".305",".306",".611",".275","74","","0.0","","999.0","11379"
"MJ Melendez","KCR","45","178","160","35","8","1","6","19","21","15","55","1","1","1","",".220",".292",".399",".691",".298","86","","0.0","","485.8","sa3004139"
"Scott Kingery","PHI","15","39","35","8","2","0","1","4","4","3","12","0","1","0","",".219",".279",".368",".647",".280","72","","0.0","","601.0","17975"
"Monte Harrison","","10","23","21","4","1","0","1","2","2","2","9","0","1","0","",".195",".261",".323",".585",".258","63","","0.0","","999.0","17216"
"John Nogowski","ATL","17","56","50","12","2","0","1","6","5","5","9","1","0","0","",".242",".318",".357",".675",".297","82","","0.0","","600.8","16852"
"Pat Valaika","","13","42","39","8","2","0","1","4","4","2","11","0","0","0","",".216",".260",".350",".610",".264","60","","-0.1","","999.0","14885"
"Trayce Thompson","","11","35","32","6","1","0","1","4","4","3","13","0","0","0","",".185",".256",".349",".604",".263","66","","-0.1","","999.0","9952"
"Taylor Jones","HOU","17","67","60","13","3","0","2","7","7","6","18","1","0","0","",".221",".296",".358",".654",".286","82","","-0.1","","999.0","19533"
"Trent Giambrone","CHC","9","30","28","5","1","0","1","3","3","2","9","0","1","0","",".196",".259",".316",".576",".253","54","","-0.1","","999.0","19250"
"Frank Schwindel","CHC","128","536","499","123","26","1","20","56","66","27","101","5","2","1","",".246",".290",".421",".711",".304","87","","-0.1","","243.0","15351"
"Ryan Vilade","","23","79","72","19","4","0","1","9","8","5","15","1","1","0","",".258",".313",".381",".694",".301","74","","-0.1","","600.5","22165"
"Mitch Moreland","","51","193","173","39","8","1","8","22","25","17","43","1","0","0","",".228",".300",".413",".714",".306","92","","-0.1","","600.9","3086"
"Shogo Akiyama","CIN","41","149","133","32","7","1","2","16","12","13","33","2","2","1","",".244",".317",".341",".658",".291","75","","-0.1","","600.8","27461"
"Yonathan Daza","COL","55","203","188","52","11","1","2","23","19","11","36","1","2","1","",".274",".317",".377",".695",".302","74","","-0.1","","600.0","15794"
"Alcides Escobar","WSN","103","426","391","97","18","2","6","42","38","22","78","4","3","1","",".248",".293",".344",".637",".279","71","","-0.1","","590.0","6310"
"Jake Noll","WSN","11","31","29","7","1","0","1","3","3","1","6","0","0","0","",".236",".277",".355",".631",".274","67","","-0.1","","999.0","19703"
"Pete Kozma","","12","34","32","6","1","0","0","2","2","2","8","0","0","0","",".189",".242",".255",".497",".223","41","","-0.1","","999.0","2539"
"Scott Schebler","","11","33","30","6","1","0","1","4","3","2","9","1","0","0","",".210",".283",".358",".640",".280","60","","-0.1","","999.0","12225"
"Sheldon Neuse","OAK","63","216","199","43","8","1","5","19","19","14","67","1","1","0","",".217",".272",".333",".605",".265","69","","-0.1","","999.0","19635"
"Donovan Casey","","11","43","40","9","2","0","1","4","4","2","15","0","1","0","",".215",".264",".348",".612",".266","62","","-0.1","","999.0","sa915654"
"Andrew Knizner","STL","56","201","182","42","8","0","4","20","18","15","39","3","1","0","",".230",".298",".335",".633",".278","76","","-0.1","","598.2","19514"
"Clint Frazier","CHC","94","365","321","72","16","1","11","41","38","37","102","5","3","1","",".223",".310",".388",".699",".305","88","","-0.1","","515.0","15983"
"Jared Oliva","PIT","23","80","73","17","4","1","1","8","6","5","21","1","2","1","",".230",".291",".338",".628",".275","71","","-0.1","","999.0","19968"
"Mason Martin","PIT","26","105","94","20","5","0","4","11","13","9","38","1","1","0","",".209",".287",".389",".676",".292","81","","-0.1","","591.7","sa3004885"
"Josh Reddick","","35","116","106","26","5","1","2","12","12","8","21","0","1","0","",".245",".300",".359",".658",".287","76","","-0.1","","999.0","3892"
"Alex Blandino","","29","76","66","14","3","0","1","8","6","8","21","2","0","0","",".211",".306",".314",".620",".279","76","","-0.1","","999.0","16271"
"Sam Hilliard","COL","98","362","327","72","14","3","15","47","43","30","124","2","7","2","",".219",".288",".415",".703",".300","73","","-0.1","","516.8","17954"
"Ronald Torreyes","PHI","32","116","108","26","4","0","1","11","10","6","16","1","1","0","",".236",".276",".323",".600",".262","60","","-0.2","","600.9","11400"
"Harold Castro","DET","55","204","190","47","8","1","2","18","17","10","43","1","1","0","",".248",".288",".329",".616",".270","68","","-0.2","","600.3","14691"
"Kelvin Gutierrez","BAL","87","335","309","72","12","2","5","34","27","22","86","3","4","1","",".232",".288",".337",".625",".275","70","","-0.2","","598.0","17468"
"Seth Brown","OAK","128","460","420","87","19","2","17","46","50","35","147","3","4","1","",".207",".271",".384",".654",".281","80","","-0.2","","518.3","18171"
"Yadiel Hernandez","WSN","90","325","293","72","12","0","9","36","36","28","76","1","1","1","",".248",".315",".387",".702",".304","87","","-0.2","","594.4","19334"
"Magneuris Sierra","LAA","33","90","83","19","3","0","1","9","6","5","20","0","3","1","",".230",".278",".305",".583",".256","58","","-0.2","","999.0","17023"
"Stephen Piscotty","OAK","107","398","358","79","15","1","11","38","38","31","100","5","2","1","",".220",".289",".357",".646",".283","81","","-0.3","","595.7","13367"
"Andrew Stevenson","","70","230","210","50","9","1","4","25","21","16","62","2","4","1","",".240",".299",".357",".656",".286","76","","-0.3","","597.8","17932"
"Cody Thomas","","40","140","127","25","5","1","4","13","13","11","51","2","1","0","",".193",".262",".342",".603",".264","68","","-0.3","","999.0","sa738459"
"Miguel Cabrera","DET","111","461","418","103","18","1","12","47","50","35","101","3","0","0","",".247",".308",".380",".689",".299","88","","-0.3","","555.3","1744"
"Nick Pratto","KCR","71","288","258","56","13","1","9","31","31","25","96","2","4","1","",".219",".293",".385",".678",".294","83","","-0.3","","563.8","sa3004138"
"Albert Pujols","STL","45","168","161","34","6","0","6","15","19","5","28","1","1","0","",".212",".237",".359",".596",".254","60","","-0.8","","593.3","1177"
