"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jeremy Peña","HOU","126","489","442","109","20","3","18","58","62","32","114","7","9","4","",".246",".305",".425",".730",".314","101","","-0.2","0.0","","0.1","6.3","2.3","","406.4","sa876320"
"Jean Segura","PHI","138","581","527","148","27","3","14","69","66","40","85","8","8","3","",".280",".337",".422",".759",".327","102","","0.6","-1.1","","2.5","1.2","2.3","","207.7","5933"
"Kris Bryant","COL","149","669","577","156","36","3","27","99","88","71","145","11","8","3","",".271",".360",".485",".845",".361","112","","1.3","-3.5","","11.8","-11.1","2.3","","67.7","15429"
"Amed Rosario","CLE","133","578","536","148","27","5","14","69","63","31","113","4","10","4","",".276",".318",".423",".741",".319","101","","0.8","1.3","","1.7","1.0","2.2","","173.6","15518"
"Spencer Torkelson","DET","130","525","454","113","23","2","27","71","75","57","118","7","4","2","",".250",".339",".490",".830",".353","125","","-0.4","0.0","","15.5","-11.2","2.2","","239.5","sa3014504"
"Nathaniel Lowe","TEX","141","605","519","134","24","2","24","78","79","75","151","5","5","2","",".258",".355",".450",".805",".347","122","","-0.8","-2.0","","15.2","-13.7","2.2","","250.0","19566"
"Franmil Reyes","CLE","147","628","557","142","23","2","40","86","103","60","184","4","4","2","",".254",".328",".515",".843",".355","126","","-2.0","0.0","","17.9","-17.1","2.2","","121.0","14566"
"Ryan McMahon","COL","139","602","532","137","29","2","25","78","83","59","153","5","6","2","",".258",".335",".462",".798",".341","100","","-0.2","1.0","","-0.2","2.1","2.2","","156.3","15112"
"Alejandro Kirk","TOR","82","325","286","80","17","1","15","45","47","31","47","4","2","1","",".278",".354",".500",".854",".364","129","","-0.5","-0.6","","11.0","0.7","2.2","","213.9","22581"
"Mitch Garver","TEX","112","468","407","95","19","1","21","58","60","49","134","6","3","1","",".232",".321",".438",".759",".328","109","","-0.8","-1.5","","4.2","2.3","2.2","","155.9","15161"
"Willson Contreras","CHC","134","590","509","123","25","1","24","75","77","59","157","16","6","3","",".241",".336",".436",".772",".334","107","","-1.8","-0.1","","3.6","2.4","2.2","","109.9","11609"
"Mike Zunino","TBR","80","312","278","57","10","1","18","38","44","24","109","5","1","0","",".205",".278",".442",".720",".307","99","","-0.6","0.2","","-1.0","6.8","2.2","","258.0","13265"
"José Abreu","CHW","150","655","584","151","30","2","32","87","99","52","150","14","1","1","",".259",".332",".480",".812",".346","120","","-1.6","-2.6","","14.9","-15.5","2.2","","79.7","15676"
"Mike Yastrzemski","SFG","133","600","523","126","30","4","24","81","69","60","149","8","5","2","",".240",".325",".447",".772",".330","109","","0.1","-2.2","","6.6","-4.9","2.2","","299.2","14854"
"Manuel Margot","TBR","118","498","448","116","23","3","14","60","58","41","86","3","16","7","",".260",".324",".418",".743",".320","108","","0.5","2.9","","5.3","-0.8","2.2","","424.6","14712"
"Dansby Swanson","ATL","150","601","536","131","29","2","21","74","74","51","148","6","8","3","",".245",".315",".423",".739",".317","95","","0.9","-2.8","","-3.1","4.7","2.2","","122.4","18314"
"Adalberto Mondesi","KCR","130","536","498","123","26","4","18","65","65","28","147","4","39","11","",".247",".289",".427",".716",".306","91","","3.2","1.1","","-2.8","6.1","2.1","","57.2","13769"
"Mitch Haniger","SEA","141","636","562","138","26","2","30","87","82","57","160","9","2","1","",".245",".322",".460",".782",".334","116","","-1.3","-1.3","","11.5","-11.8","2.1","","108.7","14274"
