"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Ramón Laureano","OAK","122","525","466","118","27","2","22","69","66","41","135","12","14","5","",".253",".326",".462",".787",".337","","2.4","0.9","","2.8","","258.7","17128"
"Kyle Schwarber","PHI","139","602","511","125","22","1","39","91","92","79","165","6","3","2","",".244",".350",".519",".869",".367","","-0.5","-1.3","","2.8","","108.0","16478"
"Luis Urías","MIL","130","560","484","122","24","2","19","72","69","60","116","10","6","2","",".253",".346",".433",".779",".337","","0.9","-0.5","","2.8","","211.3","16622"
"Brandon Crawford","SFG","134","581","518","132","27","2","19","69","74","52","118","6","8","3","",".255",".328",".426",".753",".322","","1.1","-1.0","","2.8","","224.8","5343"
"Adley Rutschman","BAL","104","412","358","92","17","1","15","54","50","44","75","4","2","1","",".257",".343",".440",".783",".338","","1.0","-0.5","","2.8","","219.7","sa3011643"
"Jesse Winker","SEA","130","560","483","130","27","1","21","76","67","63","98","10","2","1","",".268",".364",".461",".824",".357","","-2.7","-1.9","","2.8","","120.3","13590"
"Jared Walsh","LAA","144","623","557","146","31","2","34","83","105","54","162","6","2","1","",".262",".331",".506",".837",".352","","0.4","-1.0","","2.8","","120.1","18607"
"Jeff McNeil","NYM","133","574","516","145","30","2","14","69","64","40","77","13","5","2","",".281",".346",".430",".776",".336","","-1.4","-0.8","","2.7","","326.3","15362"
"Rhys Hoskins","PHI","143","616","518","124","31","2","33","87","95","84","150","9","4","2","",".239",".351",".496",".847",".361","","0.0","-1.1","","2.7","","119.6","16472"
"Salvador Perez","KCR","147","594","555","145","25","0","36","74","98","24","146","10","1","0","",".261",".301",".501",".802",".337","","2.6","-1.2","","2.7","","32.3","7304"
"Justin Turner","LAD","134","581","509","137","23","0","22","77","81","53","97","12","3","0","",".269",".349",".444",".794",".344","","-2.9","-1.1","","2.7","","148.3","5235"
"Kolten Wong","MIL","134","581","515","136","29","3","14","74","55","44","96","14","15","5","",".265",".336",".412",".749",".325","","4.2","0.9","","2.7","","196.2","12532"
"Paul DeJong","STL","128","553","487","112","23","1","23","68","71","49","138","10","5","2","",".229",".309",".420",".730",".315","","3.7","-0.3","","2.7","","499.0","18015"
"Dylan Carlson","STL","146","630","553","143","31","5","20","79","75","59","145","9","4","2","",".259",".336",".443",".780",".335","","2.0","-0.7","","2.7","","166.6","20126"
"Tommy Edman","STL","134","581","533","145","29","4","12","76","53","34","88","7","23","5","",".271",".321",".408",".729",".315","","3.4","2.9","","2.7","","94.3","19470"
"Randy Arozarena","TBR","144","623","546","140","29","3","24","88","75","55","165","16","20","10","",".256",".339",".450",".789",".339","","-2.4","-0.4","","2.7","","66.6","19290"
"Mitch Garver","TEX","118","478","416","100","20","1","23","63","64","51","134","6","2","1","",".241",".331",".463",".794",".341","","-2.7","-0.9","","2.6","","155.9","15161"
"Eloy Jiménez","CHW","139","602","555","151","28","1","34","77","101","38","145","4","1","0","",".272",".320",".509",".829",".350","","-3.1","-0.3","","2.6","","65.7","17484"
"Spencer Torkelson","DET","130","560","481","120","25","2","29","75","80","59","123","8","4","2","",".249",".337",".490",".827",".351","","2.0","-0.4","","2.6","","239.5","sa3014504"
"Adalberto Mondesi","KCR","130","560","522","129","27","7","18","70","67","28","157","3","47","10","",".248",".287",".430",".717",".305","","3.3","5.1","","2.6","","57.2","13769"
"Dansby Swanson","ATL","154","665","597","148","32","3","24","83","83","54","166","6","10","3","",".247",".314",".433",".747",".319","","-1.0","0.9","","2.6","","122.4","18314"
"Starling Marte","NYM","134","581","525","142","27","3","16","81","64","36","110","14","31","8","",".271",".333",".425",".758",".327","","-0.1","3.1","","2.5","","31.8","9241"
"Franmil Reyes","CLE","147","637","569","146","24","2","41","84","110","59","193","3","4","1","",".257",".327",".519",".846",".356","","0.0","-1.5","","2.5","","121.0","14566"
"Eduardo Escobar","NYM","138","595","541","132","25","4","26","71","82","46","127","3","1","1","",".244",".304",".449",".753",".320","","-0.1","-0.9","","2.5","","203.7","6153"
"Yandy Díaz","TBR","130","560","482","129","24","1","14","69","63","70","91","3","2","1","",".268",".362",".409",".770",".336","","-1.2","-1.0","","2.4","","498.5","16578"
"Kris Bryant","COL","149","644","560","155","35","2","28","96","87","66","138","13","8","3","",".277",".364",".499",".862",".367","","-4.9","1.2","","2.4","","67.7","15429"
"Alex Verdugo","BOS","133","574","516","149","33","2","14","77","62","48","92","4","7","2","",".289",".351",".445",".796",".341","","1.8","0.5","","2.4","","173.1","17027"
"Danny Jansen","TOR","97","385","336","78","17","1","18","51","53","37","79","6","1","0","",".233",".318",".447",".765",".329","","0.8","-0.5","","2.4","","399.5","16535"
"Tyler Stephenson","CIN","113","450","394","104","22","0","13","57","53","44","89","6","0","0","",".265",".346",".419",".765",".332","","1.4","-0.6","","2.4","","136.5","17988"
