"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Yusei Kikuchi","TOR","28","29","154.0","11","10","11","0","0","151","80","25","151","63","1.39","8.83","3.69","4.69","4.68","","1.6","1.3","","297.1","20633"
"Eric Lauer","MIL","23","27","132.0","9","9","9","0","1","133","69","21","122","49","1.38","8.30","3.35","4.71","4.67","","1.6","1.0","","329.3","19316"
"Nick Pivetta","BOS","28","29","153.0","9","10","11","0","0","152","83","26","155","65","1.41","9.12","3.81","4.89","4.77","","1.5","0.9","","361.8","15454"
"Aaron Ashby","MIL","8","44","88.0","4","4","2","0","9","75","34","7","97","39","1.30","10.02","4.02","3.47","3.53","","1.5","1.6","","265.0","23550"
"Garrett Whitlock","BOS","5","60","88.0","4","3","1","5","11","83","37","9","91","28","1.25","9.22","2.88","3.74","3.49","","1.5","1.1","","252.8","20191"
"Corey Kluber","TBR","25","25","135.0","9","10","9","0","0","125","67","21","131","57","1.35","8.67","3.80","4.48","4.71","","1.5","1.4","","332.0","2429"
"Huascar Ynoa","ATL","24","24","128.0","9","8","8","0","0","129","67","20","125","48","1.39","8.82","3.39","4.72","4.53","","1.5","1.1","","245.2","20468"
"Dylan Bundy","MIN","27","28","150.0","9","10","11","0","0","151","81","26","133","52","1.35","7.97","3.13","4.84","4.83","","1.5","0.9","","520.2","12917"
"Merrill Kelly","ARI","28","29","169.0","8","13","11","0","0","189","97","29","128","52","1.43","6.82","2.78","5.16","4.91","","1.5","0.5","","491.1","11156"
"Tylor Megill","NYM","22","27","121.0","8","8","7","0","1","114","59","20","120","43","1.30","8.98","3.21","4.39","4.53","","1.5","1.3","","309.4","21318"
"Aaron Civale","CLE","28","29","166.0","10","12","13","0","0","175","90","31","133","47","1.33","7.19","2.52","4.85","4.91","","1.4","1.0","","266.4","19479"
"Josh Hader","MIL","0","62","62.0","3","1","0","34","2","38","19","7","98","24","1.00","14.12","3.48","2.69","2.83","","1.4","1.4","","28.6","14212"
"Nestor Cortes","NYY","19","28","119.0","8","7","7","0","1","109","58","22","124","42","1.26","9.35","3.20","4.39","4.67","","1.4","1.3","","323.8","17874"
"Zach Plesac","CLE","28","28","161.0","10","11","12","0","0","166","84","29","119","41","1.28","6.65","2.30","4.68","4.93","","1.4","1.3","","368.1","19979"
"Lance McCullers Jr.","HOU","13","14","81.0","6","4","6","0","0","71","34","8","82","36","1.33","9.22","3.99","3.75","3.93","","1.4","1.5","","355.5","14120"
"Mitch Keller","PIT","25","28","132.0","7","11","8","0","1","138","73","17","114","57","1.47","7.74","3.89","4.94","4.62","","1.4","0.7","","423.2","17594"
"Kyle Freeland","COL","28","28","152.0","8","12","8","0","0","168","87","23","113","55","1.47","6.72","3.27","5.14","4.87","","1.4","0.5","","576.2","16256"
"Mike Minor","CIN","24","25","133.0","9","9","10","0","0","129","69","26","124","45","1.31","8.42","3.04","4.68","4.96","","1.4","1.1","","564.2","10021"
"Triston McKenzie","CLE","27","27","138.0","9","11","8","0","0","124","71","27","148","58","1.31","9.66","3.76","4.61","4.92","","1.4","1.2","","222.5","18000"
"Miles Mikolas","STL","24","24","132.0","7","9","10","0","0","140","68","20","89","34","1.33","6.07","2.35","4.66","4.79","","1.3","1.2","","502.8","9803"
"Cristian Javier","HOU","11","40","104.0","5","5","3","0","3","78","44","16","123","49","1.22","10.69","4.23","3.86","4.39","","1.3","1.6","","320.7","17606"
"Michael Pineda","DET","24","24","125.0","7","11","7","0","0","136","69","21","95","34","1.36","6.89","2.43","4.99","4.76","","1.3","0.6","","498.9","5372"
"Tyler Wells","BAL","14","45","106.0","6","7","4","3","1","96","50","18","109","35","1.24","9.19","3.00","4.23","4.50","","1.3","1.1","","519.4","20000"
"Stephen Strasburg","WSN","18","19","111.0","6","7","9","0","0","107","56","18","105","40","1.33","8.53","3.22","4.51","4.58","","1.3","1.1","","337.1","10131"
"Emmanuel Clase","CLE","0","66","66.0","3","2","0","31","2","55","20","4","65","17","1.09","8.90","2.27","2.75","2.88","","1.3","1.4","","56.1","21032"
"Matt Brash","SEA","17","26","101.0","6","7","5","0","0","90","47","15","102","41","1.29","9.05","3.64","4.20","4.47","","1.3","1.3","","420.2","sa3010616"
"Aaron Bummer","CHW","0","63","62.0","3","2","0","4","13","47","17","3","70","23","1.14","10.18","3.33","2.50","2.79","","1.2","1.5","","593.9","16258"
"Taylor Rogers","MIN","0","59","60.0","3","2","0","24","4","53","21","6","72","14","1.12","10.93","2.13","3.22","2.86","","1.2","1.0","","147.0","13449"
"Matt Manning","DET","24","25","126.0","7","11","8","0","0","136","70","19","93","43","1.42","6.63","3.09","5.02","4.80","","1.2","0.5","","551.7","20369"
"Mike Soroka","ATL","13","13","69.0","5","4","5","0","0","72","31","7","48","19","1.32","6.33","2.42","4.09","4.05","","1.2","1.0","","568.5","18383"
"Taijuan Walker","NYM","27","27","145.0","8","10","11","0","0","144","76","24","122","55","1.37","7.56","3.40","4.70","4.93","","1.2","1.1","","419.0","11836"
"Jake Odorizzi","HOU","17","22","107.0","6","7","6","0","1","102","54","18","97","39","1.31","8.15","3.27","4.51","4.72","","1.2","1.0","","532.0","6397"
"Kris Bubic","KCR","25","26","138.0","8","11","10","0","0","142","75","20","112","61","1.48","7.36","3.97","4.88","4.90","","1.2","0.8","","542.1","21455"
"Patrick Corbin","WSN","29","29","171.0","9","13","11","0","0","191","99","30","141","60","1.47","7.41","3.17","5.23","4.97","","1.2","0.3","","435.8","9323"
"Sixto Sánchez","MIA","10","13","58.0","4","4","3","0","1","56","25","6","50","16","1.25","7.75","2.42","3.86","3.79","","1.2","1.0","","562.5","19680"
"Madison Bumgarner","ARI","29","29","164.0","8","13","11","0","0","177","96","32","132","53","1.40","7.22","2.89","5.28","5.19","","1.2","0.3","","483.4","5524"
"Daulton Jefferies","OAK","20","25","112.0","6","9","6","0","0","115","58","19","86","29","1.29","6.86","2.35","4.64","4.72","","1.2","1.0","","590.5","19345"
"Carlos Hernández","KCR","24","26","131.0","7","10","7","0","0","135","72","20","105","53","1.44","7.23","3.65","4.95","4.97","","1.2","0.7","","448.8","22713"
"Martín Pérez","TEX","23","24","120.0","7","9","7","0","0","130","66","18","92","44","1.45","6.88","3.29","4.91","4.79","","1.2","0.6","","597.0","6902"
"Andrew Heaney","LAD","22","26","124.0","8","7","10","0","1","123","67","25","128","40","1.33","9.32","2.94","4.89","4.85","","1.1","0.8","","354.0","15423"
"Dakota Hudson","STL","20","25","115.0","8","8","8","0","1","114","55","12","80","50","1.42","6.25","3.87","4.28","4.64","","1.1","1.5","","491.6","19206"
"Chad Green","NYY","0","65","71.0","3","2","0","3","17","61","29","11","89","17","1.10","11.30","2.15","3.66","3.49","","1.1","0.7","","417.7","15552"
"Adrian Houser","MIL","27","29","143.0","10","10","9","0","0","150","76","17","99","64","1.49","6.23","3.99","4.78","4.88","","1.1","1.0","","485.0","12718"
"José Suarez","LAA","22","24","123.0","7","9","7","0","0","126","66","20","105","47","1.41","7.70","3.46","4.81","4.87","","1.1","0.8","","543.8","19911"
"Aroldis Chapman","NYY","0","62","60.0","3","2","0","29","2","40","20","6","92","32","1.19","13.65","4.79","2.97","3.09","","1.1","1.1","","80.5","10233"
"Michael Wacha","BOS","20","25","115.0","6","8","6","0","1","124","65","21","103","35","1.39","8.10","2.76","5.08","4.78","","1.1","0.4","","558.2","14078"
"Jesús Luzardo","MIA","22","30","122.0","7","10","9","0","1","124","67","20","115","53","1.46","8.48","3.92","4.94","4.84","","1.1","0.6","","247.9","19959"
"Nick Lodolo","CIN","15","16","79.0","5","5","5","0","0","78","39","12","79","28","1.34","9.01","3.20","4.48","4.42","","1.0","0.8","","452.2","sa917947"
"Edwin Díaz","NYM","0","65","64.0","3","2","0","32","1","51","25","8","89","23","1.15","12.48","3.24","3.47","3.33","","1.0","0.8","","61.9","14710"
"Paul Sewald","SEA","0","62","64.0","2","2","0","11","13","49","24","10","92","22","1.11","12.88","3.09","3.44","3.40","","1.0","0.8","","277.8","13892"
"Elieser Hernandez","MIA","25","25","131.0","7","10","9","0","0","130","71","27","121","38","1.28","8.30","2.63","4.84","5.09","","1.0","0.9","","337.5","16933"
"Trevor Bauer","LAD","10","10","60.0","5","3","5","0","0","50","27","11","71","21","1.17","10.65","3.08","4.04","4.28","","1.0","1.0","","245.1","12703"
"David Bednar","PIT","0","65","65.0","2","2","0","18","4","53","25","7","78","24","1.19","10.73","3.37","3.45","3.38","","1.0","0.8","","192.5","19569"
"Giovanny Gallegos","STL","0","67","69.0","3","2","0","22","9","57","27","10","82","19","1.10","10.72","2.46","3.49","3.55","","1.0","0.9","","110.5","14986"
"Devin Williams","MIL","0","60","59.0","3","1","0","3","12","42","21","5","84","30","1.22","12.79","4.57","3.18","3.23","","1.0","0.9","","279.7","15816"
"James Kaprielian","OAK","19","21","103.0","5","8","7","0","1","94","53","19","97","38","1.28","8.45","3.30","4.60","4.90","","1.0","0.9","","517.2","18331"
"Chris Paddack","SDP","8","38","80.0","4","4","2","0","1","79","37","13","73","19","1.21","8.22","2.11","4.17","4.22","","1.0","0.8","","483.0","20099"
"A.J. Puk","OAK","4","52","75.0","3","4","1","3","12","66","31","8","81","31","1.28","9.66","3.67","3.75","3.78","","1.0","0.9","","560.8","19343"
"Ryan Pressly","HOU","0","62","62.0","3","2","0","30","2","52","22","7","73","17","1.12","10.61","2.50","3.19","3.19","","1.0","1.0","","65.0","7005"
"Matthew Boyd","SFG","11","29","76.0","4","5","3","0","1","74","38","12","72","26","1.31","8.54","3.04","4.47","4.42","","1.0","0.6","","591.8","15440"
"Domingo Germán","NYY","13","27","85.0","5","5","3","0","1","78","41","15","87","26","1.24","9.23","2.79","4.36","4.57","","1.0","0.9","","561.1","17149"
"Tony Gonsolin","LAD","20","25","107.0","8","6","7","0","1","102","57","19","104","44","1.36","8.72","3.70","4.77","4.88","","1.0","0.8","","289.4","19388"
"Reiver Sanmartin","CIN","11","30","82.0","4","5","3","0","1","86","41","11","71","25","1.35","7.81","2.72","4.44","4.26","","1.0","0.7","","550.3","19754"
"Chris Archer","MIN","22","22","123.0","7","8","10","0","0","129","72","22","116","52","1.48","8.46","3.83","5.27","5.00","","0.9","0.2","","587.0","6345"
"Raisel Iglesias","LAA","0","63","65.0","3","2","0","32","2","52","24","10","85","18","1.07","11.79","2.48","3.40","3.50","","0.9","0.8","","46.5","17130"
"Bryse Wilson","PIT","19","23","106.0","6","9","7","0","0","118","60","17","68","33","1.42","5.76","2.78","5.09","4.97","","0.9","0.4","","599.8","19990"
"Dallas Keuchel","CHW","26","27","147.0","10","10","10","0","0","162","80","21","87","53","1.47","5.37","3.28","4.89","5.07","","0.9","0.9","","574.0","9434"
"Spencer Howard","TEX","21","29","104.0","6","8","6","0","1","105","58","17","93","43","1.43","8.06","3.73","5.00","4.87","","0.9","0.4","","567.8","23252"
"Hunter Greene","CIN","19","20","105.0","6","8","6","0","0","105","57","19","101","38","1.37","8.65","3.29","4.88","4.90","","0.9","0.7","","363.4","sa3005315"
"Diego Castillo","SEA","0","60","60.0","2","2","0","5","13","47","21","7","69","19","1.10","10.37","2.84","3.10","3.37","","0.9","1.1","","421.9","17496"
"Luke Weaver","ARI","15","20","91.0","5","7","5","0","4","97","51","16","83","31","1.41","8.16","3.06","5.03","4.70","","0.9","0.3","","548.2","16918"
"Josh Fleming","TBR","10","31","88.0","4","4","3","0","1","90","40","11","60","25","1.30","6.18","2.52","4.09","4.31","","0.9","1.1","","600.4","20418"
"Glenn Otto","TEX","13","18","68.0","4","5","5","0","1","66","34","9","64","27","1.37","8.41","3.58","4.51","4.44","","0.9","0.6","","595.3","21366"
"Blake Treinen","LAD","0","65","65.0","3","1","0","6","15","53","24","6","72","24","1.19","10.05","3.28","3.36","3.48","","0.9","0.9","","180.4","12572"
"Jordan Romano","TOR","0","63","64.0","3","2","0","27","3","50","25","8","79","26","1.19","11.18","3.65","3.55","3.67","","0.9","0.8","","82.2","16122"
"Roansy Contreras","PIT","12","12","62.0","4","5","4","0","0","59","30","9","53","21","1.27","7.66","2.97","4.31","4.54","","0.8","0.8","","541.3","22810"
