"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Art Warren","","1","1","0","1","4.61","0","20","20.0","19","10","3","21","11","1.50","9.58","5.07","4.72","0.0","999.0","18251"
"Kent Emanuel","HOU","1","1","0","1","4.46","0","25","25.0","26","12","4","21","8","1.35","7.52","2.83","4.59","0.0","999.0","sa549399"
"Dennis Santana","","2","2","0","1","4.31","0","30","30.0","27","14","4","33","14","1.36","10.03","4.08","4.47","0.0","600.4","17878"
"Shea Spitzbarth","PIT","0","0","0","1","4.08","0","4","4.0","4","2","1","4","2","1.35","9.93","4.05","4.17","0.0","999.0","sa873695"
"Victor Arano","ATL","0","0","0","1","4.21","0","4","4.0","4","2","1","4","2","1.32","10.03","3.70","4.16","0.0","999.0","15915"
"Trevor Megill","CHC","0","0","0","1","4.04","0","3","3.0","3","1","0","3","1","1.33","9.80","3.79","4.07","0.0","999.0","sa828803"
"Edinson Volquez","","1","1","0","0","4.90","0","12","12.0","12","7","2","10","6","1.52","7.86","4.60","4.88","0.0","999.0","3990"
"Mitchell White","LAD","0","0","0","1","4.20","0","3","3.0","3","1","0","3","1","1.31","9.15","3.31","4.30","0.0","999.0","19225"
"Matthew Cronin","WSN","0","0","0","0","4.54","0","6","6.0","6","3","1","7","3","1.40","9.78","4.27","4.51","0.0","999.0","sa3011463"
"Nabil Crismatt","SDP","1","1","0","1","4.29","0","10","10.0","10","5","2","10","3","1.29","8.76","2.89","4.38","0.0","999.0","17732"
"D.J. Johnson","CLE","0","0","0","1","4.18","0","3","3.0","3","1","0","3","1","1.34","9.55","3.75","4.27","0.0","999.0","12578"
"Trevor Richards","TBR","1","1","0","1","4.40","0","18","18.0","17","9","3","18","7","1.32","8.91","3.29","4.59","0.0","600.4","19309"
"Reymin Guduan","OAK","0","0","0","1","4.11","0","4","4.0","4","2","0","4","2","1.45","9.79","5.08","4.36","0.0","999.0","13058"
"Ray Black","","1","1","0","1","4.42","0","14","14.0","12","7","2","18","8","1.37","11.36","4.94","4.48","0.0","600.9","14244"
"Tommy Eveld","MIA","0","0","0","1","4.20","0","4","4.0","4","2","1","4","2","1.36","9.19","3.93","4.25","0.0","999.0","sa918150"
"Tyler Phillips","TEX","0","0","0","1","4.70","0","5","5.0","5","3","1","4","1","1.36","6.80","2.45","4.78","0.0","999.0","sa875646"
"Blake Weiman","PIT","0","0","0","1","4.34","0","4","4.0","4","2","1","4","2","1.38","8.56","3.74","4.38","0.0","999.0","sa3004211"
"Jorge Alcala","MIN","2","3","0","6","4.83","0","45","45.0","45","24","7","43","21","1.46","8.62","4.17","4.91","0.0","600.4","19459"
"Yoan Lopez","ARI","3","3","0","9","4.56","0","50","50.0","49","25","7","47","21","1.40","8.45","3.71","4.57","0.0","600.9","17181"
"Nolan Blackwood","DET","0","0","0","1","4.59","0","4","4.0","4","2","0","3","2","1.50","6.88","4.12","4.66","0.0","999.0","sa874212"
"Zack Godley","MIL","0","0","0","1","4.63","0","3","3.0","3","2","0","3","1","1.41","9.07","3.73","4.47","0.0","600.6","14862"
"Clay Holmes","PIT","1","1","0","1","4.43","0","11","11.0","11","5","1","10","6","1.52","8.52","5.06","4.47","0.0","999.0","13649"
"Clayton Andrews","","0","0","0","0","4.54","0","5","5.0","5","3","1","5","2","1.40","9.78","4.27","4.51","0.0","999.0","1000247"
"James Norwood","CHC","0","0","0","1","4.67","0","4","4.0","4","2","1","5","2","1.50","10.18","5.32","4.65","0.0","999.0","16440"
"Riley Smith","ARI","1","1","0","1","4.56","0","22","22.0","23","11","3","19","7","1.37","7.81","2.97","4.52","0.0","999.0","19826"
