"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Starling Marte","NYM","134","581","525","142","27","3","16","81","64","36","110","14","31","8","",".271",".333",".424",".757",".327","","-2.6","3.1","","2.9","","28.3","9241"
"Max Stassi","LAA","104","410","363","81","14","1","15","47","47","35","124","7","1","0","",".223",".303",".395",".698",".304","","2.0","-1.0","","2.9","","300.1","10059"
"Max Kepler","MIN","131","567","493","117","27","3","25","77","72","62","104","7","8","3","",".237",".328",".453",".781",".334","","6.1","0.5","","2.9","","289.6","12144"
"Giancarlo Stanton","NYY","138","595","521","136","23","0","36","80","102","64","166","5","1","0","",".262",".346",".515",".861",".364","","0.0","-1.4","","2.9","","96.0","4949"
"Adley Rutschman","BAL","105","419","367","96","17","2","16","55","51","42","72","5","3","2","",".261",".342",".444",".787",".339","","1.0","-0.5","","2.8","","181.1","sa3011643"
"Tommy Edman","STL","143","616","566","154","31","4","12","80","56","36","93","7","24","6","",".272",".321",".407",".728",".315","","3.6","3.1","","2.8","","88.0","19470"
"Jared Walsh","LAA","151","651","583","154","32","2","34","86","109","56","169","6","2","1","",".263",".332",".501",".833",".351","","0.5","-1.1","","2.8","","117.2","18607"
"Nick Castellanos","","151","651","592","165","40","2","31","93","98","46","139","7","3","2","",".278",".335",".509",".844",".356","","-5.1","-0.6","","2.8","","62.0","11737"
"Spencer Torkelson","DET","130","560","484","123","25","2","30","76","81","56","119","8","5","2","",".254",".337",".497",".834",".354","","2.0","-0.4","","2.7","","263.8","sa3014504"
"Brandon Crawford","SFG","136","588","524","133","27","2","19","69","74","53","120","6","8","4","",".255",".327",".422",".750",".321","","1.1","-1.0","","2.7","","212.0","5343"
"Whit Merrifield","KCR","149","644","592","166","35","4","11","84","59","38","96","5","28","7","",".280",".327",".410",".737",".318","","2.4","2.7","","2.7","","32.4","11281"
"Salvador Perez","KCR","149","601","561","146","25","0","36","74","99","24","148","11","1","0","",".260",".301",".500",".801",".336","","2.6","-1.3","","2.7","","32.3","7304"
"Eugenio Suárez","SEA","134","581","507","114","20","1","31","71","87","60","169","8","2","1","",".226",".315",".452",".767",".328","","-2.1","-1.6","","2.7","","194.8","12552"
"Ramón Laureano","OAK","122","525","466","118","26","2","21","68","65","41","135","12","14","5","",".252",".325",".454",".779",".334","","2.4","0.9","","2.7","","235.9","17128"
"Kolten Wong","MIL","134","581","515","136","29","3","14","74","55","44","96","14","15","5","",".265",".336",".411",".747",".324","","4.2","0.9","","2.7","","190.0","12532"
"Kris Bryant","","136","588","510","130","30","2","23","80","71","62","136","11","7","2","",".256",".347",".454",".801",".344","","-5.3","1.0","","2.7","","97.4","15429"
"Jeff McNeil","NYM","133","574","516","145","30","2","14","69","63","40","77","13","5","2","",".281",".345",".426",".772",".335","","-1.4","-0.8","","2.7","","329.0","15362"
"Rhys Hoskins","PHI","144","623","524","125","31","2","33","89","92","84","152","9","4","2","",".238",".351",".492",".843",".360","","0.0","-1.2","","2.7","","129.7","16472"
"Luis Arraez","MIN","138","595","534","161","28","5","5","73","50","52","56","2","4","3","",".302",".363",".399",".762",".333","","-0.9","-0.4","","2.6","","317.2","18568"
"Eloy Jiménez","CHW","146","630","581","158","29","1","34","80","104","39","151","4","1","0","",".272",".320",".503",".823",".348","","-3.2","-0.3","","2.6","","64.5","17484"
"Mitch Garver","TEX","123","497","433","103","21","1","24","65","68","53","141","7","2","1","",".238",".327",".457",".785",".337","","-2.9","-0.9","","2.6","","173.5","15161"
"Anthony Rizzo","","138","595","507","131","23","2","25","78","81","60","94","21","6","2","",".259",".358",".462",".821",".353","","1.7","-1.8","","2.6","","197.7","3473"
"Justin Turner","LAD","138","595","522","140","24","0","22","79","83","55","99","13","3","0","",".269",".349",".442",".791",".343","","-2.3","-1.2","","2.6","","152.1","5235"
"Dylan Carlson","STL","146","630","554","143","31","5","20","78","75","58","145","9","4","2","",".259",".336",".439",".775",".333","","2.0","-0.7","","2.6","","176.7","20126"
"Randy Arozarena","TBR","147","637","559","144","29","3","23","88","75","56","169","16","21","10","",".257",".339",".445",".785",".337","","-2.2","-0.6","","2.6","","63.0","19290"
"Michael Conforto","","143","616","524","132","27","1","23","78","82","76","137","12","3","2","",".253",".357",".442",".799",".346","","-1.8","-0.5","","2.6","","203.7","16376"
"Nicky Lopez","KCR","141","609","544","147","25","5","5","70","48","50","82","5","16","5","",".270",".334",".360",".694",".307","","3.7","1.1","","2.5","","251.2","19339"
"Dansby Swanson","ATL","154","665","598","148","32","3","24","81","82","54","166","6","10","4","",".247",".314",".430",".744",".318","","-0.9","1.0","","2.5","","120.0","18314"
"DJ LeMahieu","NYY","138","595","532","151","25","2","13","82","59","52","82","3","5","2","",".284",".349",".412",".761",".331","","4.2","-0.4","","2.5","","115.5","9874"
"Alex Verdugo","BOS","139","602","541","156","35","2","15","80","65","50","96","4","7","2","",".289",".351",".443",".793",".340","","1.9","0.5","","2.5","","164.4","17027"
"Eduardo Escobar","NYM","138","595","541","132","25","4","26","70","82","46","127","3","1","1","",".244",".304",".448",".751",".319","","-0.1","-0.9","","2.4","","195.5","6153"
"Amed Rosario","CLE","138","595","555","153","27","6","13","73","63","31","117","3","13","4","",".276",".317",".418",".735",".316","","-3.1","1.2","","2.4","","169.1","15518"
"Ian Happ","CHC","149","644","554","133","25","2","30","83","88","80","186","5","10","4","",".240",".340",".458",".797",".343","","-1.6","0.1","","2.4","","202.8","17919"
"Danny Jansen","TOR","100","399","349","81","18","1","18","52","54","38","82","6","1","0","",".233",".317",".442",".759",".327","","0.7","-0.5","","2.4","","382.9","16535"
"Austin Meadows","TBR","141","609","540","136","30","4","28","81","94","57","134","6","7","3","",".252",".328",".476",".804",".341","","0.2","-1.4","","2.4","","142.2","15672"
"Tony Kemp","OAK","123","532","454","118","22","4","10","63","49","61","73","8","10","4","",".260",".354",".387",".742",".327","","-2.3","0.0","","2.4","","435.6","14894"
"Miguel Rojas","MIA","130","560","511","136","27","2","9","63","50","37","74","6","12","4","",".267",".322",".382",".703",".307","","3.3","-0.3","","2.4","","427.8","7802"
"Tyler Stephenson","CIN","125","499","438","116","24","0","13","62","58","48","97","7","0","0","",".266",".345",".414",".759",".330","","1.4","-0.7","","2.4","","137.2","17988"
"Aaron Hicks","NYY","126","546","459","105","20","2","19","72","67","78","124","5","6","2","",".228",".343",".407",".750",".329","","-3.7","0.5","","2.3","","507.2","5297"
